"quantidade","limite_credito_minimo","tipo_cartao","sexo","escolaridade"
"91","1438.03","blue","F","graduacao"
"92","1438.04","blue","F","doutorado"
"133","1438.07","blue","M","doutorado"
"316","1438.08","blue","F","mestrado"
"148","1438.12","blue","F","sem educacao formal"
"190","1438.17","blue","F","ensino medio"
"203","1438.18","blue","M","sem educacao formal"
"330","1438.26","blue","M","ensino medio"
"158","1438.43","blue","M","graduacao"
"462","1438.45","blue","M","mestrado"
"9","10091.74","silver","F","sem educacao formal"
"6","10110.58","silver","F","mestrado"
"5","10357.97","silver","F","doutorado"
"5","10514.17","silver","F","ensino medio"
"3","10790.91","silver","F","graduacao"
"14","12609.78","silver","M","ensino medio"
"22","15198.71","silver","M","mestrado"
"2","15433.35","gold","F","ensino medio"
"3","15459.46","silver","M","doutorado"
"1","15987.78","gold","F","mestrado"
"7","18431.35","silver","M","sem educacao formal"
"7","26750.6","silver","M","graduacao"
"1","34516.16","gold","M","doutorado"
"1","34516.25","platinum","M","mestrado"
"4","34516.6","gold","M","ensino medio"
"2","34516.91","gold","M","mestrado"
"1","34516.94","gold","M","graduacao"
"1","34516.94","gold","F","graduacao"
"1","34516.96","platinum","F","doutorado"
