"quantidade","limite_credito_maximo","tipo_cartao","sexo","escolaridade"
"203","34516.99","blue","M","sem educacao formal"
"2","34516.98","gold","M","mestrado"
"462","34516.97","blue","M","mestrado"
"1","34516.96","platinum","F","doutorado"
"7","34516.96","silver","M","sem educacao formal"
"4","34516.95","gold","M","ensino medio"
"1","34516.94","gold","M","graduacao"
"1","34516.94","gold","F","graduacao"
"7","34516.89","silver","M","graduacao"
"330","34516.74","blue","M","ensino medio"
"158","34516.73","blue","M","graduacao"
"133","34516.72","blue","M","doutorado"
"22","34516.66","silver","M","mestrado"
"5","34516.53","silver","F","doutorado"
"3","34516.36","silver","F","graduacao"
"14","34516.34","silver","M","ensino medio"
"3","34516.29","silver","M","doutorado"
"9","34516.26","silver","F","sem educacao formal"
"1","34516.25","platinum","M","mestrado"
"1","34516.16","gold","M","doutorado"
"6","30310.45","silver","F","mestrado"
"190","29543.1","blue","F","ensino medio"
"148","26181.89","blue","F","sem educacao formal"
"92","26053.49","blue","F","doutorado"
"316","24936.22","blue","F","mestrado"
"91","23032.31","blue","F","graduacao"
"1","15987.78","gold","F","mestrado"
"2","15534.85","gold","F","ensino medio"
"5","13882.37","silver","F","ensino medio"
