"quantidade","tipo_cartao","salario_anual","media_qtd_transacoes","media_valor_transacoes","media_limite_credito"
"677","blue","menos que $40K","43.0","1857.24","3797.09"
"449","blue","$40K - $60K","42.0","1841.51","4832.76"
"431","blue","$60K - $80K","41.0","1814.45","8061.38"
"461","blue","$80K - $120K","40.0","1748.57","13736.87"
"212","blue","$120K +","40.0","1707.02","17105.39"
"20","silver","menos que $40K","45.0","2120.2","12007.81"
"17","silver","$40K - $60K","43.0","1776.94","17870.18"
"15","silver","$60K - $80K","39.0","1610.78","30351.36"
"22","silver","$80K - $120K","45.0","1910.17","34516.4"
"9","silver","$120K +","41.0","1611.85","32341.1"
"4","gold","menos que $40K","38.0","1502.6","15735.89"
"1","gold","$40K - $60K","34.0","1421.27","23981.32"
"5","gold","$60K - $80K","58.0","2802.68","34516.77"
"4","gold","$80K - $120K","44.0","1823.24","34516.84"
"1","gold","$120K +","31.0","1330.87","34516.72"
"1","platinum","$80K - $120K","29.0","1156.61","34516.25"
